date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2,quality,importance,total_rating
2022/10/26,2023,0,,TOR,PHI,1562.180479,1557.291846,0.64652235,0.35347765,1568.948969,1550.523356,,,,,,,1607.211292,1604.904115,0.59875438,0.40124562,119,109,87,30,59
2022/10/26,2023,0,,MIN,SAS,1526.500939,1504.288062,0.668966381,0.331033619,1533.518761,1497.27024,,,,,,,1585.315744,1426.026309,0.796700114,0.203299886,134,122,51,27,39
2022/10/26,2023,0,,CHI,IND,1457.173403,1385.683284,0.728529864,0.271470136,1463.60139,1379.255297,,,,,,,1489.253175,1448.656745,0.666646653,0.333353347,124,109,38,28,33
2022/10/26,2023,0,,UTA,HOU,1565.726366,1353.001354,0.858172047,0.141827953,1567.786389,1350.941331,,,,,,,1542.472177,1290.357992,0.888684535,0.111315465,109,101,16,6,11
2022/10/26,2023,0,,POR,MIA,1373.022111,1578.06333,0.353276946,0.646723054,1361.975971,1589.109469,,,,,,,1495.043689,1625.620535,0.43869399,0.56130601,98,119,73,47,60
2022/10/26,2023,0,,DEN,LAL,1505.808641,1422.634674,0.741625462,0.258374538,1510.771501,1417.671814,,,,,,,1587.131283,1490.980434,0.772469463,0.227530537,110,99,66,13,40
2022/10/27,2023,0,,BRK,DAL,1500.266267,1612.502902,0.482397345,0.517602655,1494.223702,1618.545467,,,,,,,1592.382022,1617.316638,0.503328981,0.496671019,125,129,86,35,61
2022/10/27,2023,0,,OKC,LAC,1369.754305,1499.016875,0.457987073,0.542012927,1379.832443,1488.938738,,,,,,,1362.742857,1550.343041,0.351474203,0.648525797,118,110,30,14,22
2022/10/27,2023,0,,SAC,MEM,1392.7641,1596.903482,0.354463936,0.645536064,1383.953501,1605.714081,,,,,,,1460.910182,1596.140155,0.422478652,0.577521348,110,125,61,13,37
2022/10/27,2023,0,,GSW,MIA,1632.996149,1589.109469,0.695990765,0.304009235,1639.677035,1582.428584,,,,,,,1600.152427,1613.772748,0.643617068,0.356382932,123,110,87,28,58
2022/10/28,2023,0,,DET,ATL,1369.338396,1526.319497,0.418725,0.581275,1354.423187,1541.234706,,,,,,,1343.41444,1583.384277,0.283705933,0.716294067,112,136,31,8,20
2022/10/28,2023,0,,ORL,CHO,1349.724562,1553.082455,0.355493977,0.644506023,1372.742166,1530.064852,,,,,,,1286.45007,1401.055613,0.43850837,0.56149163,113,93,4,25,15
2022/10/28,2023,0,,WAS,IND,1457.003741,1379.255297,0.735595898,0.264404102,1439.205543,1397.053495,,,,,,,1448.281924,1443.481151,0.612089471,0.387910529,117,127,29,22,26
2022/10/28,2023,0,,TOR,PHI,1568.948969,1550.523356,0.664120832,0.335879168,1543.257157,1576.215169,,,,,,,1606.958565,1539.687695,0.691222065,0.308777935,90,112,78,28,53
2022/10/28,2023,0,,BOS,CLE,1650.982958,1523.839775,0.78710143,0.21289857,1632.257192,1542.565541,,,,,,,1699.080758,1505.469046,0.81899444,0.18100556,123,132,84,11,48
2022/10/28,2023,0,,MIL,NYK,1598.625617,1532.596404,0.722268268,0.277731732,1604.02488,1527.197141,,,,,,,1595.370286,1543.538374,0.68135435,0.31864565,119,108,77,35,56
2022/10/28,2023,0,,MIN,LAL,1533.518761,1417.671814,0.776001467,0.223998533,1537.237369,1413.953207,,,,,,,1598.9735,1395.183586,0.838424326,0.161575674,111,102,47,17,32
2022/10/28,2023,0,,SAS,CHI,1497.27024,1463.60139,0.683404016,0.316595984,1501.295779,1459.575852,,,,,,,1419.656346,1491.475702,0.505700446,0.494299554,129,124,32,37,35
2022/10/28,2023,0,,DEN,UTA,1510.771501,1567.786389,0.561546837,0.438453163,1522.689718,1555.868172,,,,,,,1617.720706,1540.982185,0.755623966,0.244376034,117,101,80,26,53
2022/10/28,2023,0,,POR,HOU,1361.975971,1350.941331,0.654565084,0.345434916,1370.136813,1342.780489,,,,,,,1407.528836,1310.598158,0.72914489,0.27085511,125,111,6,12,9
2022/10/28,2023,0,,PHO,NOP,1618.736661,1572.786842,0.698497794,0.301502206,1625.352659,1566.170843,,,,,,,1628.997156,1524.630688,0.751826071,0.248173929,124,111,79,19,49
