Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Portland Trail Blazers,LA Clippers,0022200311,112,0.55,0.466,0.376,0.77,43.6,24.1,16.0,6.9,4.0,-0.6,111.8,112.4,0.579,118,0.571,0.478,0.358,0.734,43.4,23.1,16.3,6.6,4.7,-0.4,107.4,107.6,0.578,0,11/29/2022
Dallas Mavericks,Golden State Warriors,0022200310,116,0.474,0.468,0.345,0.733,39.4,21.9,13.3,8.4,3.4,1.8,112.8,110.9,0.583,113,0.524,0.483,0.382,0.807,40.7,28.8,16.5,7.1,4.0,0.5,113.6,113.4,0.603,1,11/29/2022
Los Angeles Lakers,Portland Trail Blazers,0022200324,128,0.368,0.465,0.32,0.809,43.9,23.2,14.8,6.7,5.0,-2.1,108.1,110.1,0.564,109,0.524,0.466,0.382,0.769,43.6,24.2,15.8,6.8,4.2,-0.9,112.0,112.9,0.579,1,11/30/2022
New York Knicks,Milwaukee Bucks,0022200316,103,0.476,0.458,0.323,0.802,45.0,23.8,13.4,7.1,4.7,-0.7,113.1,114.1,0.56,109,0.737,0.457,0.352,0.714,48.0,24.2,15.1,7.1,6.3,4.8,111.1,106.5,0.56,0,11/30/2022
Brooklyn Nets,Washington Wizards,0022200315,113,0.5,0.498,0.372,0.8,40.7,26.9,15.0,7.0,7.4,0.7,113.0,112.2,0.604,107,0.524,0.474,0.345,0.78,44.1,25.2,13.4,6.5,6.0,-0.9,110.9,111.9,0.571,1,11/30/2022
Boston Celtics,Miami Heat,0022200314,134,0.81,0.496,0.403,0.852,41.5,27.2,13.2,5.8,5.4,8.4,120.9,111.9,0.63,121,0.476,0.448,0.332,0.848,41.7,24.3,14.2,7.6,3.5,-0.5,109.5,110.2,0.564,1,11/30/2022
Phoenix Suns,Chicago Bulls,0022200321,132,0.7,0.475,0.371,0.81,43.8,27.5,13.5,7.7,6.0,6.9,115.9,109.1,0.576,113,0.45,0.469,0.363,0.833,42.9,24.3,14.5,7.5,5.3,0.2,110.5,110.5,0.573,1,11/30/2022
Orlando Magic,Atlanta Hawks,0022200313,108,0.238,0.468,0.339,0.782,43.7,21.2,16.7,6.3,5.5,-5.6,109.5,115.1,0.573,125,0.524,0.462,0.329,0.829,43.2,23.1,12.9,7.1,4.8,-0.4,110.2,111.1,0.555,0,11/30/2022
Cleveland Cavaliers,Philadelphia 76ers,0022200312,113,0.619,0.475,0.38,0.807,44.3,23.8,14.9,6.1,4.2,6.0,113.9,108.2,0.587,85,0.571,0.475,0.375,0.807,41.4,24.1,14.6,8.7,4.9,3.8,112.2,108.1,0.589,1,11/30/2022
Sacramento Kings,Indiana Pacers,0022200323,137,0.526,0.493,0.365,0.795,39.9,27.2,14.7,6.9,3.1,1.6,115.8,114.4,0.608,114,0.6,0.453,0.359,0.798,42.5,27.4,15.2,7.8,6.4,1.4,113.0,111.7,0.573,1,11/30/2022
Utah Jazz,LA Clippers,0022200322,125,0.522,0.472,0.369,0.773,43.5,27.2,15.5,7.4,4.9,1.2,115.5,113.9,0.584,112,0.591,0.477,0.36,0.739,43.7,23.2,16.2,6.6,4.8,-0.1,108.1,108.0,0.578,1,11/30/2022
Denver Nuggets,Houston Rockets,0022200320,120,0.65,0.497,0.398,0.755,43.9,28.0,15.3,7.2,4.3,1.5,115.8,114.1,0.596,100,0.25,0.443,0.354,0.776,45.9,21.8,18.0,7.7,4.8,-6.0,109.1,115.1,0.557,1,11/30/2022
Minnesota Timberwolves,Memphis Grizzlies,0022200317,109,0.476,0.482,0.327,0.791,42.5,25.8,16.0,7.6,5.3,-1.3,111.3,111.9,0.584,101,0.6,0.463,0.363,0.699,47.4,24.2,14.0,6.7,5.1,1.4,113.8,112.7,0.557,1,11/30/2022
New Orleans Pelicans,Toronto Raptors,0022200318,126,0.6,0.484,0.376,0.783,44.0,26.6,14.5,8.5,4.4,5.3,114.4,109.1,0.583,108,0.55,0.445,0.334,0.785,45.1,23.3,13.1,10.3,5.7,2.3,112.4,109.9,0.545,1,11/30/2022
Oklahoma City Thunder,San Antonio Spurs,0022200319,119,0.381,0.46,0.336,0.789,42.2,23.2,13.2,7.8,5.8,-1.7,110.2,112.3,0.555,111,0.286,0.462,0.351,0.719,41.3,27.7,16.3,7.3,4.3,-10.2,108.0,118.0,0.553,1,11/30/2022
Detroit Pistons,Dallas Mavericks,0022200325,131,0.217,0.443,0.332,0.779,42.3,21.4,14.4,6.7,4.0,-8.6,109.2,117.8,0.55,125,0.5,0.467,0.344,0.727,39.3,21.8,13.3,8.3,3.4,1.9,112.7,110.8,0.582,1,12/01/2022
Charlotte Hornets,Washington Wizards,0022200326,117,0.286,0.446,0.32,0.727,44.1,24.6,14.9,7.4,4.9,-6.0,105.9,112.4,0.533,116,0.5,0.472,0.341,0.772,44.4,24.9,13.5,6.5,6.0,-1.1,110.7,111.9,0.568,1,12/02/2022
Atlanta Hawks,Denver Nuggets,0022200327,117,0.545,0.465,0.325,0.827,43.4,23.2,12.9,7.2,4.7,0.4,110.7,110.8,0.557,109,0.667,0.498,0.404,0.755,44.0,28.2,15.2,7.2,4.5,2.4,116.3,113.7,0.599,1,12/02/2022
Cleveland Cavaliers,Orlando Magic,0022200330,107,0.636,0.48,0.385,0.806,44.3,24.1,15.2,6.3,4.1,7.0,114.3,107.5,0.592,96,0.227,0.469,0.338,0.786,43.2,21.4,16.7,6.2,5.4,-6.1,109.3,115.4,0.574,1,12/02/2022
Boston Celtics,Miami Heat,0022200328,116,0.818,0.498,0.408,0.853,41.5,27.4,13.5,5.8,5.1,8.6,121.5,112.4,0.634,120,0.455,0.451,0.338,0.851,41.2,24.3,14.2,7.6,3.5,-1.1,110.2,111.4,0.568,0,12/02/2022
Golden State Warriors,Chicago Bulls,0022200336,119,0.5,0.482,0.376,0.805,41.1,28.7,16.5,7.1,3.9,0.3,113.4,113.3,0.602,111,0.429,0.471,0.354,0.832,42.4,24.1,14.4,7.4,5.3,-0.7,110.4,111.3,0.573,1,12/02/2022
Brooklyn Nets,Toronto Raptors,0022200329,114,0.522,0.496,0.374,0.806,40.4,26.6,14.7,7.1,7.4,1.0,112.9,112.0,0.603,105,0.524,0.446,0.331,0.781,44.2,23.5,13.2,10.4,5.7,1.3,111.9,110.4,0.546,1,12/02/2022
San Antonio Spurs,New Orleans Pelicans,0022200333,99,0.273,0.461,0.347,0.721,41.4,27.6,16.0,7.2,4.2,-10.1,108.0,118.1,0.552,117,0.619,0.486,0.379,0.786,44.3,26.6,14.7,8.6,4.3,5.9,114.7,108.8,0.586,0,12/02/2022
Milwaukee Bucks,Los Angeles Lakers,0022200331,129,0.75,0.456,0.349,0.719,48.3,24.2,14.7,6.9,6.3,4.9,111.2,106.5,0.559,133,0.4,0.466,0.324,0.803,44.2,23.4,14.5,6.7,5.1,-1.1,109.1,110.1,0.566,0,12/02/2022
Phoenix Suns,Houston Rockets,0022200334,121,0.714,0.477,0.375,0.815,43.8,27.2,13.5,7.4,5.9,7.4,116.5,109.1,0.58,122,0.238,0.442,0.351,0.776,45.7,21.6,17.9,7.6,4.9,-6.7,109.0,115.7,0.555,0,12/02/2022
Memphis Grizzlies,Philadelphia 76ers,0022200332,117,0.571,0.461,0.362,0.693,47.9,23.9,14.6,6.7,5.0,0.9,113.1,112.4,0.555,109,0.545,0.472,0.369,0.808,41.0,24.0,14.7,8.7,4.8,2.3,111.4,108.7,0.585,1,12/02/2022
Utah Jazz,Indiana Pacers,0022200335,139,0.542,0.475,0.372,0.772,43.6,27.1,15.6,7.3,5.0,1.7,116.0,114.0,0.588,119,0.571,0.45,0.357,0.795,42.4,27.3,15.1,7.8,6.3,0.2,112.4,112.1,0.569,1,12/02/2022
Golden State Warriors,Houston Rockets,0022200342,120,0.522,0.482,0.377,0.797,41.3,28.7,16.6,6.8,3.9,0.6,113.2,112.8,0.602,101,0.273,0.444,0.35,0.777,45.5,21.5,17.8,7.8,4.7,-6.4,109.6,116.0,0.558,1,12/03/2022
New York Knicks,Dallas Mavericks,0022200337,100,0.455,0.456,0.318,0.796,45.5,23.6,13.2,6.9,4.6,-1.0,112.9,114.1,0.556,121,0.476,0.471,0.348,0.714,38.7,21.9,13.2,8.3,3.6,1.5,113.0,111.4,0.585,0,12/03/2022
LA Clippers,Sacramento Kings,0022200338,96,0.565,0.473,0.359,0.742,43.5,23.0,16.0,6.7,4.8,-0.7,108.4,108.8,0.575,123,0.55,0.493,0.366,0.799,40.5,27.0,14.8,6.9,3.2,2.6,116.1,113.6,0.609,0,12/03/2022
Utah Jazz,Portland Trail Blazers,0022200343,111,0.56,0.478,0.374,0.778,43.5,27.0,15.9,7.2,4.9,2.4,116.2,113.4,0.592,116,0.5,0.466,0.38,0.77,43.7,24.1,15.6,6.7,4.2,-1.7,111.9,113.6,0.578,0,12/03/2022
Minnesota Timberwolves,Oklahoma City Thunder,0022200341,128,0.5,0.481,0.326,0.791,41.9,25.8,15.9,7.8,5.5,-0.9,111.1,111.4,0.583,135,0.409,0.462,0.336,0.783,42.7,23.0,13.2,7.7,5.7,-1.3,110.6,112.2,0.556,0,12/03/2022
Charlotte Hornets,Milwaukee Bucks,0022200339,96,0.318,0.445,0.323,0.732,44.3,24.7,14.5,7.3,4.8,-5.7,106.7,112.8,0.533,105,0.714,0.46,0.351,0.721,48.0,24.5,14.4,6.7,6.2,4.4,112.1,107.7,0.563,0,12/03/2022
Toronto Raptors,Orlando Magic,0022200340,121,0.5,0.446,0.33,0.779,44.1,23.2,13.2,10.2,5.6,0.9,111.6,110.6,0.545,108,0.217,0.47,0.338,0.784,43.2,21.3,16.8,6.2,5.4,-6.4,109.1,115.4,0.573,1,12/03/2022
San Antonio Spurs,Phoenix Suns,0022200345,95,0.261,0.458,0.344,0.722,41.6,27.5,15.8,7.0,4.2,-10.4,107.4,117.9,0.548,133,0.682,0.479,0.379,0.812,43.5,27.3,13.7,7.5,5.9,7.0,116.7,109.7,0.583,0,12/04/2022
New York Knicks,Cleveland Cavaliers,0022200348,92,0.435,0.456,0.319,0.792,45.5,23.3,13.5,6.9,4.5,-1.8,112.3,114.2,0.556,81,0.652,0.48,0.385,0.81,43.9,24.1,15.1,6.3,4.2,7.2,114.4,107.3,0.592,1,12/04/2022
Brooklyn Nets,Boston Celtics,0022200346,92,0.542,0.498,0.372,0.801,40.5,26.6,14.8,7.1,7.2,1.3,112.9,111.6,0.604,103,0.783,0.496,0.404,0.847,41.6,27.2,13.7,5.8,5.0,8.0,120.7,112.2,0.631,0,12/04/2022
Sacramento Kings,Chicago Bulls,0022200350,110,0.571,0.495,0.365,0.792,40.7,27.2,14.5,6.9,3.3,3.7,116.3,112.8,0.609,101,0.409,0.47,0.353,0.824,42.3,24.2,14.2,7.3,5.1,-1.0,110.0,111.2,0.572,1,12/04/2022
Detroit Pistons,Memphis Grizzlies,0022200347,112,0.25,0.447,0.337,0.772,42.5,21.7,14.3,6.8,3.8,-8.0,109.8,117.8,0.553,122,0.591,0.46,0.363,0.698,48.3,23.8,14.5,6.8,5.3,1.3,113.3,112.2,0.554,0,12/04/2022
Portland Trail Blazers,Indiana Pacers,0022200351,116,0.522,0.467,0.381,0.771,44.0,23.8,15.5,6.6,4.3,-1.4,112.1,113.6,0.578,100,0.545,0.449,0.357,0.796,41.8,27.0,15.2,7.9,6.2,-0.7,111.9,112.6,0.569,1,12/04/2022
Washington Wizards,Los Angeles Lakers,0022200349,119,0.478,0.471,0.342,0.77,45.0,24.9,13.5,6.3,6.1,-1.1,111.2,112.4,0.569,130,0.429,0.47,0.328,0.8,44.2,23.8,14.0,6.6,5.0,-0.9,110.2,111.0,0.569,0,12/04/2022
New Orleans Pelicans,Denver Nuggets,0022200344,121,0.636,0.484,0.373,0.795,44.6,26.5,14.5,8.6,4.4,6.5,114.6,108.1,0.585,106,0.636,0.499,0.403,0.749,43.5,28.3,15.2,7.2,4.3,1.9,116.2,114.1,0.599,1,12/04/2022
Dallas Mavericks,Phoenix Suns,0022200358,130,0.5,0.468,0.351,0.716,39.2,22.1,13.1,8.2,3.6,2.4,113.2,110.8,0.584,111,0.696,0.481,0.386,0.811,43.6,27.8,13.6,7.4,5.6,8.4,117.5,109.1,0.585,1,12/05/2022
Houston Rockets,Philadelphia 76ers,0022200356,132,0.261,0.444,0.342,0.781,45.5,21.3,17.7,7.7,4.7,-6.9,109.3,116.4,0.556,123,0.522,0.471,0.372,0.811,41.0,23.9,14.6,8.6,4.8,1.8,111.3,109.1,0.584,1,12/05/2022
Golden State Warriors,Indiana Pacers,0022200359,104,0.542,0.484,0.382,0.791,41.1,29.0,16.5,6.9,4.0,1.4,113.6,112.4,0.605,112,0.522,0.449,0.355,0.797,41.9,26.8,15.2,8.0,6.2,-1.3,111.5,112.8,0.567,0,12/05/2022
Charlotte Hornets,LA Clippers,0022200352,117,0.304,0.442,0.32,0.74,44.2,24.2,14.4,7.4,4.8,-5.8,106.0,112.3,0.531,119,0.542,0.468,0.355,0.745,43.8,22.6,16.1,6.6,4.8,-1.8,107.8,109.4,0.569,0,12/05/2022
Orlando Magic,Milwaukee Bucks,0022200353,102,0.208,0.471,0.34,0.785,42.6,21.4,16.8,6.4,5.2,-6.7,109.1,115.8,0.574,109,0.727,0.46,0.352,0.724,47.9,24.4,14.8,6.6,6.3,4.6,111.6,107.0,0.563,0,12/05/2022
Toronto Raptors,Boston Celtics,0022200355,110,0.522,0.45,0.329,0.776,44.1,23.5,13.4,10.3,5.5,1.4,112.1,110.5,0.549,116,0.792,0.494,0.404,0.849,41.9,26.9,13.8,6.0,5.1,8.1,120.1,111.5,0.629,0,12/05/2022
Atlanta Hawks,Oklahoma City Thunder,0022200354,114,0.565,0.469,0.326,0.822,43.5,23.2,12.8,7.2,4.7,0.7,111.2,110.9,0.56,121,0.435,0.464,0.338,0.784,42.4,23.0,13.4,7.8,5.6,-1.0,111.0,112.2,0.559,0,12/05/2022
Memphis Grizzlies,Miami Heat,0022200357,101,0.609,0.46,0.366,0.699,48.2,23.9,14.5,6.8,5.3,1.6,113.6,112.1,0.555,93,0.478,0.452,0.337,0.847,41.4,24.0,14.3,7.7,3.5,-0.8,110.0,111.0,0.567,1,12/05/2022
Miami Heat,Detroit Pistons,0022200361,96,0.458,0.45,0.338,0.844,41.6,24.0,14.4,7.7,3.4,-1.1,109.5,110.8,0.565,116,0.24,0.447,0.338,0.774,42.3,21.8,14.4,6.8,3.9,-8.1,109.8,117.9,0.554,0,12/06/2022
Cleveland Cavaliers,Los Angeles Lakers,0022200360,116,0.625,0.475,0.378,0.808,43.7,23.8,15.3,6.3,4.3,6.4,113.0,106.7,0.586,102,0.455,0.474,0.33,0.797,44.3,24.2,14.0,6.5,5.0,-0.4,110.7,111.0,0.571,1,12/06/2022
Denver Nuggets,Dallas Mavericks,0022200362,115,0.609,0.5,0.397,0.745,43.5,28.2,15.4,7.1,4.3,1.1,115.7,114.4,0.598,116,0.522,0.471,0.357,0.722,39.4,22.2,13.1,8.1,3.7,3.1,114.2,110.9,0.588,0,12/06/2022
Chicago Bulls,Washington Wizards,0022200367,115,0.391,0.469,0.354,0.825,42.1,23.9,14.3,7.4,5.1,-1.3,109.5,111.0,0.57,111,0.458,0.471,0.338,0.769,44.8,24.8,13.3,6.5,6.2,-1.5,111.2,112.8,0.567,1,12/07/2022
New York Knicks,Atlanta Hawks,0022200365,113,0.458,0.454,0.313,0.793,45.9,23.1,13.8,6.9,4.4,-1.3,111.5,112.9,0.553,89,0.542,0.467,0.327,0.82,43.7,23.2,13.0,7.1,4.6,0.4,110.9,111.0,0.558,1,12/07/2022
Brooklyn Nets,Charlotte Hornets,0022200364,122,0.52,0.494,0.372,0.796,40.7,26.3,14.9,7.0,7.2,0.8,112.3,111.4,0.599,116,0.292,0.444,0.321,0.737,44.4,24.4,14.3,7.4,4.8,-5.7,106.5,112.6,0.532,1,12/07/2022
Phoenix Suns,Boston Celtics,0022200373,98,0.667,0.48,0.384,0.805,43.5,27.8,13.6,7.3,5.6,7.3,117.3,110.2,0.584,125,0.8,0.494,0.402,0.844,42.2,26.9,13.7,6.0,5.1,8.0,120.0,111.5,0.627,0,12/07/2022
Orlando Magic,LA Clippers,0022200363,116,0.2,0.466,0.336,0.79,43.0,21.4,16.7,6.4,5.1,-6.7,108.7,115.3,0.57,111,0.56,0.468,0.358,0.742,43.9,22.9,15.9,6.5,4.8,-1.6,108.3,109.8,0.57,1,12/07/2022
Milwaukee Bucks,Sacramento Kings,0022200369,126,0.739,0.46,0.351,0.726,47.7,24.6,14.8,6.7,6.2,4.7,111.3,106.7,0.563,113,0.591,0.493,0.362,0.795,40.9,27.3,14.7,7.0,3.3,4.0,115.9,112.1,0.608,1,12/07/2022
Utah Jazz,Golden State Warriors,0022200372,124,0.538,0.477,0.374,0.779,43.5,26.7,15.8,7.2,4.8,2.1,116.1,113.6,0.592,123,0.52,0.481,0.379,0.791,41.3,28.8,16.4,6.8,4.1,1.0,113.3,112.4,0.601,1,12/07/2022
Minnesota Timberwolves,Indiana Pacers,0022200370,121,0.478,0.483,0.326,0.792,41.7,25.6,16.1,8.0,5.7,-1.1,111.2,111.8,0.585,115,0.542,0.45,0.357,0.791,42.1,26.7,15.2,7.8,6.3,-0.9,111.5,112.4,0.567,1,12/07/2022
Toronto Raptors,Los Angeles Lakers,0022200366,126,0.5,0.451,0.33,0.774,44.2,23.3,13.4,10.1,5.5,1.1,112.1,110.8,0.549,113,0.435,0.472,0.322,0.799,44.3,23.9,14.1,6.4,5.0,-0.9,110.4,111.2,0.568,1,12/07/2022
Memphis Grizzlies,Oklahoma City Thunder,0022200368,123,0.625,0.46,0.361,0.704,48.0,23.9,14.4,7.0,5.3,1.9,113.3,111.5,0.555,102,0.458,0.464,0.339,0.792,42.5,23.0,13.5,7.8,5.5,-0.6,111.1,111.8,0.56,1,12/07/2022
New Orleans Pelicans,Detroit Pistons,0022200371,104,0.652,0.485,0.375,0.794,44.2,26.6,14.3,8.6,4.4,6.8,114.9,108.0,0.587,98,0.269,0.449,0.344,0.774,42.3,22.1,14.3,6.9,3.8,-7.0,110.2,117.2,0.557,1,12/07/2022
San Antonio Spurs,Houston Rockets,0022200375,118,0.25,0.457,0.338,0.722,41.6,27.1,16.0,7.0,4.1,-11.5,107.0,118.5,0.546,109,0.292,0.444,0.343,0.781,45.5,21.2,17.8,7.8,4.6,-6.2,109.7,116.1,0.557,1,12/08/2022
Miami Heat,LA Clippers,0022200374,115,0.44,0.449,0.337,0.84,41.6,23.9,14.5,7.7,3.4,-1.9,109.1,111.3,0.564,110,0.538,0.466,0.359,0.74,44.2,23.0,15.9,6.4,4.9,-1.7,108.3,109.9,0.568,1,12/08/2022
Portland Trail Blazers,Denver Nuggets,0022200376,120,0.542,0.468,0.383,0.767,44.0,24.2,15.5,6.8,4.2,-0.7,112.4,113.1,0.58,121,0.583,0.5,0.397,0.747,43.2,28.3,15.5,7.2,4.3,1.1,115.8,114.5,0.6,0,12/08/2022
Orlando Magic,Toronto Raptors,0022200379,113,0.231,0.464,0.335,0.796,43.3,21.3,16.5,6.5,5.1,-6.2,108.8,115.0,0.569,109,0.52,0.45,0.328,0.776,44.5,23.3,13.3,10.1,5.4,1.6,112.3,110.6,0.549,1,12/09/2022
Charlotte Hornets,New York Knicks,0022200377,102,0.28,0.447,0.324,0.728,44.3,24.5,14.1,7.3,4.7,-5.7,107.0,113.1,0.535,121,0.48,0.454,0.32,0.798,46.3,23.2,13.8,6.9,4.3,-0.3,111.8,112.3,0.555,0,12/09/2022
Indiana Pacers,Washington Wizards,0022200378,121,0.52,0.451,0.361,0.789,41.6,26.5,15.3,7.9,6.2,-1.1,111.4,112.5,0.569,111,0.44,0.472,0.336,0.765,44.4,24.6,13.5,6.7,6.2,-1.6,110.9,112.6,0.567,1,12/09/2022
Cleveland Cavaliers,Sacramento Kings,0022200381,95,0.64,0.477,0.374,0.806,43.8,23.9,15.0,6.5,4.2,6.7,113.2,106.6,0.586,106,0.565,0.492,0.36,0.799,41.0,27.0,14.4,6.8,3.3,3.3,116.0,112.9,0.606,0,12/09/2022
Memphis Grizzlies,Detroit Pistons,0022200383,114,0.64,0.462,0.361,0.707,48.0,24.2,14.5,7.2,5.4,2.6,113.4,110.9,0.557,103,0.259,0.447,0.345,0.774,42.3,21.9,14.3,6.8,3.7,-7.0,109.8,116.8,0.555,1,12/09/2022
Brooklyn Nets,Atlanta Hawks,0022200380,120,0.538,0.497,0.372,0.795,40.7,26.6,14.7,6.9,7.3,1.0,112.8,111.7,0.602,116,0.52,0.464,0.32,0.819,43.7,23.0,13.0,7.0,4.7,-0.5,110.3,111.3,0.555,1,12/09/2022
Philadelphia 76ers,Los Angeles Lakers,0022200382,133,0.5,0.47,0.376,0.809,40.7,23.8,14.8,8.6,4.8,1.4,111.2,109.5,0.584,122,0.417,0.47,0.317,0.806,44.2,23.5,14.1,6.4,4.9,-1.4,110.2,111.4,0.568,1,12/09/2022
New Orleans Pelicans,Phoenix Suns,0022200384,128,0.667,0.484,0.372,0.793,44.5,26.4,14.5,8.6,4.6,6.8,114.5,107.6,0.585,117,0.64,0.476,0.379,0.806,43.6,27.4,13.7,7.2,5.5,5.9,116.3,110.5,0.579,1,12/09/2022
Utah Jazz,Minnesota Timberwolves,0022200385,108,0.556,0.479,0.375,0.78,43.4,26.7,15.8,7.2,4.9,2.0,116.3,113.8,0.594,118,0.5,0.482,0.327,0.798,42.0,25.5,16.3,8.3,5.5,-0.8,111.3,111.7,0.585,0,12/09/2022
Dallas Mavericks,Milwaukee Bucks,0022200386,105,0.542,0.472,0.361,0.73,39.2,22.4,13.3,8.2,3.8,3.0,114.3,111.2,0.592,106,0.75,0.461,0.353,0.731,47.8,25.1,14.5,6.5,6.0,5.1,112.1,107.1,0.565,0,12/09/2022
Chicago Bulls,Dallas Mavericks,0022200391,144,0.417,0.471,0.356,0.826,42.0,24.0,14.4,7.5,5.0,-1.1,109.4,110.8,0.571,115,0.52,0.472,0.36,0.718,39.4,22.4,13.2,8.2,3.8,2.9,114.0,111.2,0.589,1,12/10/2022
Golden State Warriors,Boston Celtics,0022200392,123,0.5,0.48,0.377,0.789,41.3,28.7,16.2,6.9,4.1,0.9,113.5,112.7,0.599,107,0.808,0.493,0.4,0.844,42.5,26.9,13.7,6.3,5.0,8.7,119.9,110.8,0.626,1,12/10/2022
Miami Heat,San Antonio Spurs,0022200387,111,0.462,0.452,0.338,0.839,41.7,23.9,14.2,7.8,3.3,-1.6,109.5,111.4,0.566,115,0.28,0.46,0.339,0.727,41.5,27.1,16.0,6.9,4.2,-10.7,107.5,118.2,0.55,0,12/10/2022
Cleveland Cavaliers,Oklahoma City Thunder,0022200390,110,0.615,0.475,0.372,0.805,43.5,23.8,15.2,6.6,4.2,6.1,112.6,106.7,0.584,102,0.44,0.46,0.34,0.795,42.7,23.0,13.7,7.8,5.4,-1.4,110.5,112.1,0.557,1,12/10/2022
Portland Trail Blazers,Minnesota Timberwolves,0022200394,124,0.52,0.469,0.384,0.773,43.8,24.4,15.4,6.9,4.2,-0.7,112.8,113.5,0.581,118,0.52,0.484,0.33,0.797,42.1,25.7,16.3,8.2,5.4,-0.4,111.6,111.5,0.587,1,12/10/2022
Indiana Pacers,Brooklyn Nets,0022200388,133,0.538,0.453,0.364,0.791,41.7,26.5,15.3,7.9,6.0,-0.7,112.1,112.8,0.572,136,0.556,0.499,0.374,0.795,40.5,26.7,14.9,7.0,7.2,1.1,112.9,111.7,0.603,0,12/10/2022
Denver Nuggets,Utah Jazz,0022200393,115,0.6,0.501,0.397,0.745,43.5,28.3,15.5,7.2,4.3,1.1,116.2,114.8,0.6,110,0.536,0.478,0.372,0.777,43.2,26.5,15.6,7.3,4.7,1.6,116.0,113.9,0.592,1,12/10/2022
Washington Wizards,LA Clippers,0022200389,107,0.423,0.474,0.337,0.765,44.3,24.7,13.5,6.7,6.1,-2.0,111.3,113.3,0.569,114,0.519,0.466,0.363,0.745,44.2,23.1,16.0,6.2,4.9,-1.9,108.4,110.2,0.57,0,12/10/2022
New Orleans Pelicans,Phoenix Suns,0022200395,129,0.68,0.485,0.369,0.793,44.4,26.4,14.4,8.7,4.4,6.9,115.0,108.0,0.586,124,0.615,0.477,0.385,0.803,43.4,27.5,13.8,7.1,5.4,5.2,116.3,111.2,0.582,1,12/11/2022
Detroit Pistons,Los Angeles Lakers,0022200396,117,0.25,0.445,0.344,0.773,42.4,21.9,14.4,6.8,3.8,-7.1,109.3,116.5,0.553,124,0.4,0.471,0.318,0.804,43.7,23.6,14.3,6.6,4.9,-1.8,110.1,111.7,0.569,0,12/11/2022
New York Knicks,Sacramento Kings,0022200397,112,0.5,0.453,0.322,0.801,46.5,23.3,13.8,6.8,4.4,0.4,112.3,112.0,0.556,99,0.583,0.494,0.364,0.79,40.9,26.8,14.6,7.0,3.4,3.6,115.8,112.3,0.608,1,12/11/2022
Orlando Magic,Toronto Raptors,0022200398,111,0.259,0.468,0.336,0.799,43.3,21.4,16.6,6.4,5.0,-5.8,109.1,114.8,0.573,99,0.5,0.449,0.326,0.778,44.1,23.3,13.0,10.1,5.4,1.4,112.3,110.8,0.549,1,12/11/2022
Philadelphia 76ers,Charlotte Hornets,0022200399,131,0.52,0.473,0.38,0.811,40.6,23.9,15.0,8.8,4.7,1.7,111.5,109.5,0.588,113,0.269,0.447,0.321,0.731,44.3,24.2,14.1,7.3,4.7,-6.2,106.9,113.5,0.534,1,12/11/2022
Houston Rockets,Milwaukee Bucks,0022200401,97,0.28,0.444,0.343,0.779,45.4,21.2,17.6,7.6,4.6,-6.3,109.7,116.3,0.555,92,0.76,0.46,0.353,0.734,48.0,25.2,14.6,6.5,6.0,4.9,112.0,107.1,0.564,1,12/11/2022
Atlanta Hawks,Chicago Bulls,0022200400,123,0.5,0.465,0.321,0.821,43.4,22.9,13.1,7.2,4.7,-0.7,110.4,111.5,0.556,122,0.44,0.477,0.366,0.821,42.0,24.4,14.3,7.5,5.0,0.1,110.7,110.8,0.578,1,12/11/2022
San Antonio Spurs,Cleveland Cavaliers,0022200406,112,0.308,0.463,0.339,0.729,41.7,27.0,16.1,6.9,4.2,-10.2,107.9,118.1,0.553,111,0.63,0.475,0.373,0.8,43.8,23.8,15.2,6.6,4.2,6.1,112.7,106.7,0.584,1,12/12/2022
LA Clippers,Boston Celtics,0022200408,113,0.536,0.464,0.365,0.75,44.1,23.0,15.7,6.3,4.9,-1.5,108.6,110.1,0.569,93,0.778,0.491,0.397,0.839,42.3,26.5,13.5,6.4,5.0,7.8,119.3,111.1,0.622,1,12/12/2022
Portland Trail Blazers,Minnesota Timberwolves,0022200407,133,0.538,0.47,0.384,0.778,43.9,24.3,15.4,6.9,4.2,-0.4,113.2,113.8,0.584,112,0.5,0.486,0.333,0.795,41.6,25.6,16.2,8.3,5.4,-0.6,111.9,112.0,0.589,1,12/12/2022
Dallas Mavericks,Oklahoma City Thunder,0022200405,121,0.5,0.471,0.355,0.723,39.3,22.4,13.0,8.1,3.9,1.6,114.0,112.5,0.588,114,0.423,0.46,0.34,0.795,42.6,23.1,13.6,7.8,5.5,-1.6,110.4,112.2,0.557,1,12/12/2022
