H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,eloh_pre,eloa_pre,eloh_post,eloa_post
121,0.333,0.488,0.312,0.711,39.9,28.2,13.6,9.6,3,3.3,109.6,106.3,0.554,125,0.333,0.468,0.434,0.657,40.4,23.9,16.2,7.6,6.1,-4.5,108.3,112,0.575,0,1472.543687,1530.483423,1465.210671,1537.816439
112,0.667,0.451,0.367,0.652,44.5,24.8,12.9,8.3,6.7,7.1,111.3,104.9,0.561,99,0.667,0.485,0.431,0.804,44,22.5,11.9,7.2,7.8,9.2,116.4,107.2,0.595,1,1543.502046,1617.609333,1554.613215,1606.498164
122,1,0.425,0.337,0.868,52.3,17.1,14.6,10.1,4,15.1,109,94.4,0.549,110,0.667,0.482,0.327,0.621,44.4,23.8,20.5,9.6,2,2,99,97.7,0.558,1,1625.266663,1571.585672,1631.322627,1565.529708
116,0.5,0.375,0.318,0.806,50.8,20.3,12.2,6.6,4.6,-9.1,96.4,105.6,0.481,106,0.333,0.465,0.408,0.75,43.3,22.4,19.6,10.3,5.4,1.6,104.8,103.2,0.575,1,1539.796493,1343.196715,1542.37151,1340.621698
98,0,0.406,0.266,0.66,44.4,22,15.3,7.5,3.4,-22.4,94.9,116.1,0.484,106,1,0.465,0.393,0.776,46.3,26.3,14.3,8.3,2.9,6.7,112.7,105.4,0.579,0,1289.005593,1558.064991,1284.618942,1562.451642
93,0.5,0.442,0.343,0.75,46.8,21.3,12.9,6.2,6.7,-5,103.2,108.2,0.54,106,0.667,0.464,0.316,0.797,49.7,23.7,14.1,7.1,1.9,15.4,107.4,92.6,0.554,0,1583.979806,1540.298177,1564.715997,1559.561986
107,0.5,0.435,0.351,0.785,44,24.5,15.2,8.4,8.2,-3.4,105.2,109.4,0.551,116,0.667,0.437,0.317,0.831,45.1,19,13.7,7.6,6,0.6,102.5,101.9,0.541,0,1484.581057,1507.078165,1471.926598,1519.732625
79,0.333,0.448,0.336,0.772,39.7,26.5,9.8,11.7,3.8,6.9,108.2,101.9,0.548,92,0.5,0.474,0.303,0.776,43.3,28,13.9,7.2,4.7,-1,107.2,107.6,0.562,0,1619.881812,1379.12051,1590.345946,1408.656377
107,0.333,0.462,0.34,0.717,42.6,26.6,14.4,7.5,2,-10.2,104.3,115.2,0.551,110,0.333,0.444,0.325,0.73,45.8,22.6,14.2,6.8,4.2,-5.8,107.1,113.3,0.545,0,1622.031043,1444.996274,1610.089765,1456.937552
111,0.25,0.405,0.314,0.758,47.2,21.3,16.8,6.3,4.8,-15.7,99.7,115.5,0.52,120,0.75,0.463,0.401,0.714,45.1,26.5,12.2,8.5,4,4,114.1,109.1,0.559,0,1328.238933,1465.692911,1319.803139,1474.128704
108,0.75,0.462,0.357,0.77,42.9,21.4,14.2,8,4.8,0.2,111.3,110,0.576,113,0.667,0.41,0.341,0.75,42.4,21.5,15.5,13,8.5,5.1,100.6,96.2,0.525,0,1650.335114,1438.446426,1634.251873,1454.529667
116,0.333,0.471,0.336,0.772,44.7,19.9,16.1,7.5,4.3,-1.2,105.9,106.8,0.574,96,0.667,0.483,0.404,0.873,49.2,25.9,13.1,8.5,4.9,4.6,121.3,117.1,0.589,1,1575.870259,1552.570016,1585.700117,1542.740159
118,0.25,0.4,0.294,0.802,52.5,20,16,10.3,3.3,1.5,100.3,99.5,0.498,100,0.25,0.46,0.359,0.817,45.9,23.1,15.1,5.4,5.2,-0.2,109.9,110.4,0.569,1,1453.931243,1482.805898,1465.432255,1471.304886
123,0,0.409,0.287,0.7,44,21.4,15,7.4,3.3,-18.8,96.2,113.9,0.494,115,0.5,0.47,0.397,0.685,42.3,21.9,14.8,7.4,6.7,-2.3,107.4,110,0.566,1,1284.618942,1537.816439,1299.254636,1523.180745
99,0.25,0.424,0.364,0.789,50.7,21.6,19.9,6.6,5.1,-8.3,99.3,107.1,0.523,102,0.667,0.456,0.366,0.778,51.8,24.6,12.5,7.9,4.9,12.5,108.2,96.1,0.545,0,1466.941307,1573.212319,1461.478989,1578.674636
110,0.5,0.474,0.392,0.824,43.8,23.3,13,7.8,7,3.6,114,110.1,0.585,102,0,0.409,0.225,0.739,45.2,18.9,17.9,7.6,6.3,-13,91,103,0.474,1,1606.498164,1365.205478,1608.252156,1363.451486
101,1,0.466,0.381,0.777,46.4,27.3,14.5,8.5,4.1,7,111.4,104.1,0.58,104,0.5,0.453,0.383,0.77,49.4,26.2,15.3,8.6,4.4,-1.5,115.1,117.1,0.557,0,1562.451642,1542.740159,1554.219087,1550.972714
103,1,0.465,0.423,0.864,41.3,24.5,14.3,10.3,6.5,10,107.5,97.5,0.572,104,0.75,0.455,0.38,0.702,45.2,25,13.6,8.1,6.4,8.6,113.1,105.3,0.57,0,1521.882604,1554.613215,1516.793895,1559.701925
91,0.25,0.453,0.408,0.733,44.1,22.5,18.7,9.4,4.8,-1.2,103.8,105,0.567,122,1,0.455,0.328,0.821,48.3,18,14.3,8.3,4.7,14,113,99,0.574,0,1340.621698,1631.322627,1330.900837,1641.043488
104,0.667,0.404,0.305,0.768,49.7,21.5,12.9,7.3,5.3,-2.6,101.3,104,0.507,99,0.25,0.476,0.326,0.65,42.9,28.3,13.7,9.4,3.6,1.4,108.2,106,0.543,1,1542.37151,1465.210671,1545.639089,1461.943092
122,0.75,0.455,0.326,0.798,45.5,18.8,14.2,7.7,6.3,2.7,105.8,103.4,0.555,111,0.75,0.446,0.344,0.79,53.3,24,12.3,7,4.8,10.3,108,98,0.532,1,1519.732625,1578.674636,1529.139762,1569.267499
113,0.4,0.476,0.38,0.708,41.5,23.1,15.1,7.4,5.8,-3.4,108,111.4,0.57,101,0.6,0.462,0.282,0.795,46.4,25,15.4,7.6,4.4,1.8,105,102.8,0.549,1,1523.180745,1408.656377,1527.656476,1404.180646
105,0.4,0.432,0.339,0.778,45.6,21.1,13.4,6.3,6.7,-6.5,100.6,107.3,0.534,98,0.2,0.464,0.357,0.818,45,22.4,16.7,5.6,5.6,-3.6,108.6,112.5,0.571,1,1564.715997,1471.304886,1568.318588,1467.702295
114,0.75,0.446,0.306,0.811,52.4,22.9,14.3,6.8,1.9,14.7,106.5,92,0.538,99,0.8,0.473,0.413,0.739,43.9,25.6,13.1,9.5,4,4.9,114.8,109,0.573,1,1559.561986,1474.128704,1565.562211,1468.12848
111,0.5,0.469,0.354,0.761,45.6,20.4,15.7,8.3,4.8,3.8,108.6,104.3,0.579,92,0.25,0.427,0.307,0.743,39.2,24.9,10.9,12.1,3.4,2.2,102.2,100.5,0.52,1,1585.700117,1590.345946,1596.454922,1579.59114
106,0.5,0.488,0.333,0.642,41.8,22.5,18.6,9.4,2.2,-1.5,101.2,103.5,0.566,75,0.75,0.418,0.329,0.681,49,20.9,13.1,6.5,5.8,-0.8,103,103.8,0.517,1,1565.529708,1545.639089,1579.179413,1531.989384
110,0.4,0.413,0.325,0.771,50.5,20.5,15.3,11.9,3.8,4.8,104.4,100.2,0.508,109,0.2,0.423,0.327,0.76,44.2,21.4,17.1,6.3,4.2,-14.3,101.6,115.9,0.534,1,1465.432255,1319.803139,1466.753844,1318.481551
109,0.2,0.425,0.352,0.8,49.9,22.3,18.1,6.4,5.4,-7.4,100.2,107.1,0.52,113,0.5,0.444,0.342,0.731,44.4,23.9,13.7,6.8,4.6,-3.7,107.8,111.2,0.544,0,1461.478989,1456.937552,1452.561259,1465.855282
122,0.6,0.479,0.4,0.848,44.3,23.1,14.6,7.6,7.4,4.5,113.4,108.6,0.595,94,0.6,0.465,0.336,0.763,51.1,24.4,12.4,6.4,4.4,6,108.4,102.6,0.543,1,1608.252156,1569.267499,1619.857289,1557.662366
103,0.8,0.46,0.374,0.774,46,27.2,15.9,8.2,4.6,5,107.7,102.3,0.57,82,0.2,0.427,0.311,0.717,43.2,21.1,15.1,7.4,3.2,-13.3,100.6,113.2,0.52,1,1554.219087,1299.254636,1557.247732,1296.225991
107,0.8,0.458,0.404,0.874,40.9,24.9,13,9.5,6.3,7.9,107.9,100,0.568,99,1,0.462,0.333,0.814,50.2,19.3,15.6,8.2,4.5,18.1,114.1,96,0.586,1,1516.793895,1641.043488,1526.698014,1631.139368
101,0.25,0.459,0.328,0.714,45.7,25.6,13.5,7.1,2.9,-8.4,104.4,113.9,0.542,92,0.5,0.455,0.295,0.776,45.2,25.8,15.5,8.1,3.9,-0.5,105.6,105.5,0.544,1,1610.089765,1404.180646,1612.383712,1401.8867
110,0,0.408,0.258,0.726,43.3,19.8,17,8.5,5.8,-11.8,94,105,0.486,103,0.167,0.431,0.348,0.75,44.9,22,17.3,5.4,4.4,-12.2,103.9,116.3,0.542,1,1363.451486,1318.481551,1368.015154,1313.917883
93,0.6,0.451,0.337,0.769,42.9,21.6,13.2,8.3,4.5,-0.8,110.7,110.6,0.564,102,0.2,0.47,0.34,0.64,44.2,27.1,14,8.8,5.1,0.2,107.2,106.4,0.539,0,1634.251873,1461.943092,1613.657227,1482.537738
94,0.167,0.452,0.346,0.795,45.1,22,16.2,6.1,5.8,-4.2,106.7,110.9,0.554,97,0.5,0.426,0.321,0.756,49.3,20.3,14.2,11.9,3.6,4.2,106.6,102.7,0.518,0,1467.702295,1466.753844,1459.901546,1474.554592
91,0.75,0.426,0.327,0.765,44,23.3,15.9,11.1,7.5,5,103.6,99,0.537,93,0.6,0.494,0.327,0.652,43.6,23.6,18.8,9.1,2.4,5,102,98,0.572,0,1454.529667,1579.179413,1450.126861,1583.58222
115,0.8,0.457,0.337,0.8,46.5,20.2,13.2,7.4,5.8,4.3,108.7,104.7,0.557,112,0.4,0.435,0.35,0.794,42.8,23.3,14.8,8.5,7.6,-4.4,105.7,110.6,0.551,1,1529.139762,1471.926598,1532.000455,1469.065905
103,0.6,0.443,0.351,0.807,48.8,25.5,15.6,10.1,5.3,-0.6,110.9,112.1,0.546,129,0.8,0.451,0.296,0.844,54,23,15,6.6,2.1,14.8,108.2,93.6,0.545,0,1550.972714,1565.562211,1524.708486,1591.826439
117,0.167,0.426,0.337,0.762,49.7,21.5,16.7,6.8,5.5,-6.8,101.5,107.9,0.517,123,0.8,0.456,0.38,0.712,46.5,23.5,13.6,7.6,6.6,7.2,112.6,106.1,0.567,0,1452.561259,1559.701925,1445.030456,1567.232729
95,0.5,0.487,0.389,0.724,42,23.5,16.3,7.8,5.9,-1,109.8,111,0.58,85,0.2,0.426,0.36,0.761,43.2,20.9,17.1,9,4.4,-6.9,100.6,107.5,0.538,1,1527.656476,1330.900837,1530.229278,1328.328035
117,0.5,0.434,0.325,0.771,46.1,20.9,14.1,6.7,6.6,-4.3,101,105.6,0.538,91,0.2,0.408,0.275,0.748,44.2,21,16.8,9.2,5.8,-8,97.2,105,0.497,1,1568.318588,1368.015154,1573.112107,1363.221635
95,0.5,0.444,0.324,0.759,43.8,21,14.3,7.9,4,-2.1,106.4,108,0.551,107,0.8,0.445,0.325,0.836,50.7,18.3,16.4,7.5,4.9,12.8,110.5,97.4,0.567,0,1613.657227,1631.139368,1598.293972,1646.502624
105,0.6,0.396,0.31,0.708,46.5,19.5,13.5,6.8,5.2,-6.8,97.6,104,0.499,99,0.6,0.454,0.34,0.786,44.4,22.9,13.7,6.3,4.7,-2.2,108.6,110.5,0.558,1,1531.989384,1465.855282,1535.779081,1462.065585
125,0.667,0.46,0.402,0.737,42.9,24.9,12.8,9.3,4.3,1.8,112.4,110,0.561,113,0.6,0.458,0.377,0.74,48.9,20.5,15.3,8.2,5,6.7,108.8,102.1,0.568,1,1468.12848,1596.454922,1481.003052,1583.580349
113,0.667,0.488,0.385,0.865,43.1,23.2,14.2,8.2,7.2,8.5,114.9,106.3,0.603,103,0.5,0.456,0.364,0.757,48.8,22.1,14.9,7.6,5,3.7,110,106.3,0.566,1,1619.857289,1583.580349,1625.721672,1577.715967
104,0.833,0.465,0.407,0.729,45,23.3,13.4,7.5,6.2,7,114.5,108,0.582,113,0.571,0.426,0.325,0.748,49.2,20,14.8,11.3,3.6,4.1,105.4,101.6,0.516,0,1567.232729,1474.554592,1549.925928,1491.861393
114,0.333,0.431,0.321,0.811,43.2,22.6,13.9,8.2,7.7,-4.1,103.5,107.7,0.537,128,0.833,0.452,0.382,0.857,41.3,23.2,12.2,9.2,6,7.9,107,99.3,0.558,0,1469.065905,1526.698014,1454.137549,1541.62637
99,0.2,0.42,0.317,0.709,40,23.4,11.3,11.1,3.7,-2,100.4,102.3,0.514,94,0.167,0.415,0.292,0.725,43.3,19.8,15.2,7.5,3.7,-14.5,97.2,111.1,0.508,1,1579.59114,1296.225991,1580.658996,1295.158136
118,0.5,0.45,0.339,0.758,50.8,24.3,13.5,6.3,3.8,0.3,106.2,105.8,0.527,111,0.833,0.44,0.327,0.801,47.4,19.3,12.7,6.9,5.8,3.9,106.1,102.5,0.542,1,1557.662366,1532.000455,1562.656406,1527.006415
131,0.143,0.45,0.339,0.783,44.5,22.4,16.8,6.4,6.4,-4,105.1,109.1,0.552,118,0.333,0.46,0.321,0.657,44.5,26.9,13.2,9.2,4.7,1.6,105.2,102.9,0.53,1,1459.901546,1482.537738,1468.912508,1473.526776
97,0.6,0.419,0.325,0.777,44.7,23,16.8,10.5,7.2,3.7,102,98.4,0.528,115,0.143,0.432,0.366,0.748,45.2,21.9,17.4,5.4,4.7,-11.5,104.1,115.4,0.543,0,1450.126861,1313.917883,1420.241152,1343.803592
110,0.714,0.467,0.415,0.722,43.2,26.5,12.3,8.6,4.6,3.2,114.6,110.9,0.571,113,0.429,0.446,0.3,0.78,45.3,25,16,8.1,3.7,-1.7,103.3,104.4,0.537,0,1481.003052,1401.8867,1471.382537,1411.507215
106,0.5,0.434,0.345,0.826,46.1,25.6,15.3,10.7,5.5,-4.7,109.6,114.9,0.544,97,0.667,0.479,0.313,0.671,44.5,23.8,18.8,9.5,3.7,4.5,101,97.5,0.558,1,1524.708486,1583.58222,1533.021943,1575.268762
119,0.571,0.475,0.376,0.713,42,23.2,15.9,8.7,6.3,0.5,107.4,107.1,0.564,117,0.167,0.425,0.341,0.71,44.9,20.4,18.6,8.8,4.2,-7.4,97.8,105,0.529,1,1530.229278,1328.328035,1531.393592,1327.163721
112,0.4,0.46,0.31,0.694,46.7,25.7,13.7,8,2.9,-4.9,103.1,109.1,0.539,100,0.143,0.43,0.336,0.791,48.8,22.8,16.1,6.8,5.1,-6.7,103.8,110.2,0.525,1,1612.383712,1445.030456,1615.77099,1441.643177
89,0.167,0.407,0.289,0.736,41.9,21.1,16.6,9.7,5.4,-11.1,96.8,107.5,0.499,117,0.429,0.438,0.319,0.762,44.3,20.6,14,7.8,3.9,-3.5,106,109.1,0.541,0,1363.221635,1598.293972,1351.402108,1610.113499
119,0.833,0.448,0.325,0.853,50.3,17.7,16,7.3,5.8,12.9,111.4,98.3,0.574,113,0.5,0.443,0.317,0.789,46.5,22.5,13.7,6.3,4.4,-2.8,107.6,110.2,0.543,1,1646.502624,1462.065585,1648.554008,1460.014201
110,0.667,0.404,0.312,0.698,46.5,20.4,13,7.1,5.1,-4.7,99.3,103.7,0.504,125,0.833,0.463,0.347,0.844,53.3,24.3,15.5,7.5,2.1,16.6,111.6,95.1,0.565,0,1535.779081,1591.826439,1520.069042,1607.536478
103,0.714,0.492,0.381,0.866,42.2,25.1,13.9,8.7,7.1,8.8,115.8,106.8,0.607,98,0.857,0.469,0.388,0.868,42.5,24.2,13,8.9,6.3,8.7,109.9,101.1,0.575,1,1625.721672,1541.62637,1628.878951,1538.469091
114,0.833,0.454,0.378,0.754,47.4,27.6,15.9,8.3,5.1,7.5,106.6,98.7,0.565,92,0.625,0.46,0.411,0.723,43.6,26.6,12.9,9,5.5,2.4,114.1,111.1,0.563,1,1557.247732,1471.382537,1565.034677,1463.595591
108,0.286,0.469,0.344,0.664,43.3,27.9,13.8,8.8,4.6,-0.4,106.9,106.9,0.542,109,0.571,0.409,0.315,0.701,46,20,12.6,6.2,4.8,-6.2,101.6,107.5,0.513,0,1473.526776,1520.069042,1468.659676,1524.936142
117,0.571,0.461,0.346,0.755,45.6,22.2,15,6.8,5.9,0,103.7,104.1,0.562,108,0.571,0.451,0.346,0.815,50.6,24.4,13.2,6.8,4,1.3,108.5,107.3,0.54,1,1573.112107,1562.656406,1579.304413,1556.4641
79,0.25,0.434,0.37,0.758,45.9,21.8,17.3,5.3,4.9,-7.7,105.5,113.2,0.551,92,0.286,0.432,0.337,0.803,42.4,22.2,13.3,8.4,6.8,-5.4,104.6,110.3,0.538,0,1343.803592,1454.137549,1332.012621,1465.92852
107,0.5,0.445,0.302,0.76,45.8,24.5,16,8.6,4.2,-1.1,104.5,105.1,0.536,104,0.429,0.458,0.362,0.737,48.7,22.2,15,7.3,4.6,1.8,110,108.3,0.565,1,1411.507215,1577.715967,1418.522046,1570.701136
112,0.429,0.445,0.325,0.776,45,22.6,13.2,6.5,4.9,-3.2,107.6,110.8,0.543,99,0.125,0.426,0.336,0.807,48.1,22.5,16.3,8.1,5.2,-7.3,103.4,110.3,0.523,1,1460.014201,1441.643177,1467.534664,1434.122714
111,0.25,0.465,0.356,0.78,43.8,24.2,16.7,6.9,6.1,-1.9,108.4,110.2,0.568,98,0.714,0.465,0.408,0.732,44.6,23,13.9,6.9,5.9,4.8,113.5,109,0.585,1,1468.912508,1549.925928,1480.323051,1538.515385
115,0.5,0.411,0.316,0.743,45.2,22.7,16.4,10.1,6.2,0.2,101.3,101.1,0.516,126,0.333,0.413,0.324,0.714,41.9,22.6,11.8,10.6,3.9,-0.8,100.3,101,0.511,0,1420.241152,1580.658996,1411.545836,1589.354312
100,0.714,0.445,0.328,0.82,46.2,20.5,12.7,7,5.6,2.5,107.5,105.2,0.549,109,0.625,0.427,0.326,0.765,49.2,20.6,14.1,11.4,3.7,4.7,106.6,102.3,0.518,0,1527.006415,1491.861393,1512.049298,1506.81851
