eloh_pre,eloa_pre,eloh_post,eloa_post,Result
1459.901546,1482.537738,1468.912508,1473.526776,1
1450.126861,1313.917883,1420.241152,1343.803592,0
1481.003052,1401.8867,1471.382537,1411.507215,0
1524.708486,1583.58222,1533.021943,1575.268762,1
1530.229278,1328.328035,1531.393592,1327.163721,1
1612.383712,1445.030456,1615.77099,1441.643177,1
1363.221635,1598.293972,1351.402108,1610.113499,0
1646.502624,1462.065585,1648.554008,1460.014201,1
1535.779081,1591.826439,1520.069042,1607.536478,0
1625.721672,1541.62637,1628.878951,1538.469091,1
1557.247732,1471.382537,1565.034677,1463.595591,1
1473.526776,1520.069042,1468.659676,1524.936142,0
1573.112107,1562.656406,1579.304413,1556.4641,1
1343.803592,1454.137549,1332.012621,1465.92852,0
1411.507215,1577.715967,1418.522046,1570.701136,1
1460.014201,1441.643177,1467.534664,1434.122714,1
1468.912508,1549.925928,1480.323051,1538.515385,1
1420.241152,1580.658996,1411.545836,1589.354312,0
1527.006415,1491.861393,1512.049298,1506.81851,0
1533.021943,1575.268762,1536.8797,1571.411006,1
1531.393592,1295.158136,1518.027413,1308.524315,0
1615.77099,1327.163721,1617.483757,1325.450954,1
1607.536478,1465.92852,1578.459143,1495.005854,0
1351.402108,1628.878951,1346.297297,1633.983762,0
1556.4641,1648.554008,1540.787704,1664.230404,0
1565.034677,1434.122714,1574.75882,1424.398572,1
1332.012621,1468.659676,1321.359791,1479.312507,0
1467.534664,1463.595591,1481.856083,1449.274173,1
1346.297297,1579.304413,1341.860356,1583.741354,0
1610.113499,1538.515385,1587.371075,1561.257808,0
1570.701136,1480.323051,1573.450944,1477.573243,1
1411.545836,1589.354312,1399.522249,1601.377898,0
1512.049298,1536.8797,1527.48827,1521.440728,1
1506.81851,1418.522046,1499.706687,1425.633868,0
1538.469091,1633.983762,1528.5741,1643.878752,0
1617.483757,1540.787704,1620.427011,1537.84445,1
1578.459143,1664.230404,1583.760586,1658.928961,1
1573.450944,1518.027413,1580.399612,1511.078745,1
1524.936142,1495.005854,1528.190112,1491.751884,1
1571.411006,1325.450954,1572.1714,1324.69056,1
1574.75882,1324.69056,1577.010573,1322.438807,1
1561.257808,1425.633868,1532.552488,1454.339188,0
1601.377898,1449.274173,1605.441058,1445.211013,1
1321.359791,1658.928961,1337.916107,1642.372645,1
1481.856083,1477.573243,1473.978918,1485.450408,0
1527.48827,1587.371075,1534.702407,1580.156938,1
1499.706687,1583.741354,1486.725462,1596.722579,0
1308.524315,1479.312507,1317.483358,1470.353463,1
1643.878752,1532.552488,1628.257894,1548.173347,0
1577.010573,1537.84445,1584.181084,1530.67394,1
1511.078745,1445.211013,1513.822176,1442.467582,1
1528.5741,1596.722579,1544.582681,1580.713998,1
1473.978918,1620.427011,1468.095414,1626.310514,0
1528.190112,1424.398572,1533.902637,1418.686047,1
1572.1714,1583.760586,1582.44347,1573.488516,1
1521.440728,1399.522249,1524.555424,1396.407554,1
1628.257894,1580.156938,1612.77467,1595.640163,0
1605.441058,1580.399612,1610.846185,1574.994485,1
1642.372645,1530.67394,1646.913786,1526.132798,1
1584.181084,1396.407554,1587.372707,1393.215931,1
1470.353463,1468.095414,1480.785274,1457.663603,1
1513.822176,1573.488516,1518.612124,1568.698569,1
1544.582681,1533.902637,1551.177817,1527.307502,1
1548.173347,1595.640163,1534.203904,1609.609605,0
1626.310514,1574.994485,1631.77279,1569.532209,1
1491.751884,1486.725462,1500.915631,1477.561716,1
1337.916107,1580.713998,1325.0688,1593.561304,0
1454.339188,1534.702407,1448.338665,1540.70293,0
